time,block4a,base,block4a_diff,base_diff,soil_moisture,soil_moisture_diff,infiltration,infiltration_diff,precipitation,temperature,frost,frost_days,ftc,ftc_days
2021-04-10,33.0066222583312,26.1536504388892,0.340983566076794,-0.739914201299587,44,0,0,0,7.2,-3.94999999999999,1,10,0,0
2021-04-11,31.608730761505,25.2012962455592,-1.39789149682629,-0.95235419332997,44,0,0,0,0,-4.54999999999995,1,11,0,0
2021-04-12,29.5384015316564,25.4049555484579,-2.07032922984853,0.203659302898703,44,0,0,0,0,-3.14999999999998,1,12,0,0
2021-04-13,30.9086348020202,26.0809803073385,1.37023327036377,0.67602475888053,44,0,0,0,0,-3.14999999999998,1,13,0,0
2021-04-14,30.7032668372072,28.0410443815159,-0.205367964812982,1.96006407417744,43,-1,0,0,0.2,-3.64999999999998,1,14,0,0
2021-04-15,32.4443760415046,24.6150895158197,1.74110920429737,-3.42595486569621,43,0,0,0,0,-3.14999999999998,1,15,0,0
2021-04-16,31.6192753291688,25.6975494447822,-0.825100712335789,1.08245992896249,43,0,0,0,0,-3.44999999999999,1,16,0,0
2021-04-17,33.5170949575052,26.421817918637,1.89781962833644,0.724268473854792,43,0,0,0,0,-0.949999999999989,1,17,1,1
2021-04-18,32.2654281254313,24.8255725884928,-1.25166683207392,-1.59624533014421,43,0,0,0,0,2.75,0,0,1,2
2021-04-19,31.6297882548113,23.8302951858178,-0.635639870620008,-0.995277402675001,43,0,0,0,0,4.65000000000003,0,0,0,0
2021-04-20,30.6071626183881,29.8589256645453,-1.02262563642318,6.02863047872753,43,0,0,0,0,4.95000000000005,0,0,0,0
2021-04-21,33.2989093649373,25.7610170493932,2.6917467465492,-4.09790861515208,44,1,1,1,2.3,1.85000000000002,0,0,1,1
2021-04-22,34.2790400009344,22.9732322043109,0.980130635997028,-2.78778484508227,44,0,0,-1,0.6,-1.25,1,1,1,2
2021-04-23,32.954766217875,24.03953875367,-1.32427378305932,1.06630654935907,44,0,0,0,0.2,-1.84999999999997,1,2,0,0
