date,CLP1,CLP5,CLP6,RiverLevel,RiverTemp,RiverCond,AirTemp,Precipitation,NDD,NDD_cum,FTC,FTC_cum,CLP1_diff,CLP5_diff,CLP6_diff
2024-05-27,2.72425704213718,0.836324467175134,4.02697287140105,0.172083333333333,10.0654166666667,0.974375,10.71,15.6,0,0,0,0,0.028176538022260278,0.019373465706194026,0.031000805294979727
2024-05-28,2.71970051374399,0.83561347301095,4.02899930170011,0.171895833333333,9.96833333333333,0.980833333333333,13.86,0.2,0,0,0,0,-0.004556528393190096,-0.0007109941641839645,0.0020264302990602445
2024-05-29,2.74290893700621,0.780632802616951,4.03396222494708,0.1711875,10.2897916666667,0.996875,13.84,0.0,0,0,0,0,0.023208423262219835,-0.05498067039399901,0.004962923246970341
2024-05-30,2.78636386532029,0.854538459953775,4.06573213699575,0.1709375,10.4927083333333,1.006875,15.73,0.0,0,0,0,0,0.04345492831407993,0.07390565733682397,0.03176991204867008
2024-05-31,2.79901026435271,0.855998480814126,4.12266555050249,0.1705,10.140625,1.01104166666667,12.47,0.0,0,0,0,0,0.012646399032420153,0.001460020860351019,0.05693341350673986
2024-06-01,2.81849183010414,0.85877491819747,4.14795501043587,0.169875,9.56895833333333,1.01958333333333,11.08,0.0,0,0,0,0,0.019481565751430008,0.002776437383343988,0.025289459933379277
2024-06-02,2.83122307003165,0.858660889420292,4.14883634950814,0.169270833333333,9.58958333333333,1.02125,9.86,7.0,0,0,0,0,0.012731239927509908,-0.00011402877717803239,0.0008813390722703929
2024-06-03,2.86214186789199,0.870813792176242,4.1701334987144,0.169,9.933125,1.02854166666667,13.54,0.0,0,0,0,0,0.03091879786034024,0.012152902755950046,0.021297149206260357
2024-06-04,2.89430618784854,0.896268126855201,4.19990631234793,0.168520833333333,10.6814583333333,1.04,12.24,3.2,0,0,0,0,0.03216431995655,0.025454334678958968,0.029772813633529793
2024-06-05,2.90553423370115,0.893154737806451,4.2223101000045,0.168020833333333,10.5766666666667,1.04875,14.48,0.0,0,0,0,0,0.011228045852609725,-0.003113389048749915,0.022403787656569918
2024-06-06,2.92700683988551,0.891851830492532,4.24028822969618,0.167229166666667,11.2133333333333,1.054375,16.2,1.0,0,0,0,0,0.0214726061843602,-0.0013029073139190217,0.01797812969167989
2024-06-07,2.95509118447519,0.909848949816963,4.25096030941245,0.166416666666667,11.5875,1.05979166666667,18.28,0.0,0,0,0,0,0.02808434458968012,0.017997119324430932,0.010672079716270488
2024-06-08,2.97401912555775,0.920814578663918,4.28721283616757,0.165770833333333,11.8070833333333,1.06729166666667,16.63,0.0,0,0,0,0,0.018927941082560018,0.010965628846955067,0.036252526755119696
2024-06-09,2.97934769747116,0.915634451120948,4.30197062059936,0.165166666666667,11.7275,1.07125,15.17,2.4,0,0,0,0,0.005328571913409963,-0.005180127542970037,0.0147577844317901
2024-06-10,3.00544756108088,0.891454495574583,4.30972697193221,0.1645,11.5204166666667,1.07104166666667,14.7,0.2,0,0,0,0,0.026099863609720053,-0.024179955546364984,0.007756351332849576
2024-06-11,3.01754069784008,0.925887889054347,4.3382105807464,0.163395833333333,11.4689583333333,1.07583333333333,14.07,0.0,0,0,0,0,0.012093136759199652,0.03443339347976404,0.028483608814190653
2024-06-12,3.04490235901345,0.937692042437545,4.34794149890497,0.163020833333333,11.2410416666667,1.08604166666667,13.58,0.0,0,0,0,0,0.027361661173370244,0.011804153383197957,0.009730918158569857
2024-06-13,3.04570247513612,0.927048518063604,4.36612799521498,0.162875,11.3491666666667,1.09479166666667,13.34,0.0,0,0,0,0,0.0008001161226700582,-0.010643524373941005,0.018186496310010014
2024-06-14,3.09704184916416,0.929410175900443,4.36749692535667,0.16175,11.0852083333333,1.1,13.61,0.0,0,0,0,0,0.051339374028039675,0.0023616578368389485,0.0013689301416892619
2024-06-15,3.13307959130856,0.964141186639574,4.41302662046129,0.160604166666667,11.44,1.10020833333333,13.49,3.4,0,0,0,0,0.03603774214440003,0.034731010739131096,0.04552969510462024
2024-06-16,3.1166389065601,0.990209342108966,4.44606959910661,0.1604375,11.2320833333333,1.10229166666667,14.9,0.0,0,0,0,0,-0.016440684748459944,0.026068155469392007,0.03304297864532035
2024-06-17,3.15352433257946,0.98232816377739,4.43110653997396,0.159708333333333,11.7166666666667,1.11041666666667,16.47,0.0,0,0,0,0,0.03688542601936007,-0.007881178331576089,-0.014963059132649725
2024-06-18,3.1642412551614,0.982543642647959,4.46325583318949,0.1593125,11.9620833333333,1.11770833333333,18.75,0.0,0,0,0,0,0.010716922581940125,0.00021547887056905246,0.03214929321552962
2024-06-19,3.18345527961782,0.986552217639545,4.46597565839761,0.1591875,11.99125,1.11895833333333,17.32,20.0,0,0,0,0,0.019214024456419843,0.0040085749915860225,0.0027198252081195307
2024-06-20,3.22729434635559,1.02856785058145,4.48679156891648,0.158979166666667,11.9095833333333,1.09854166666667,15.5,22.2,0,0,0,0,0.04383906673777016,0.04201563294190491,0.020815910518870773
2024-06-21,3.25695291105162,1.22015723925078,4.54956328719582,0.158875,11.7297916666667,1.1,13.14,5.6,0,0,0,0,0.0296585646960299,0.19158938866933006,0.0627717182793397
2024-06-22,3.26720542893489,1.03001290575202,4.57671409102644,0.157291666666667,11.3391666666667,1.11375,15.72,0.0,0,0,0,0,0.010252517883269974,-0.19014433349876003,0.02715080383061963
2024-06-23,3.2924626479187,1.09063212220978,4.57577047817086,0.157229166666667,11.0029166666667,1.11875,12.76,2.0,0,0,0,0,0.02525721898381006,0.06061921645775992,-0.0009436128555799783
2024-06-24,3.28329527407255,1.08131267667078,4.61489909247212,0.156479166666667,11.0395833333333,1.11520833333333,12.72,18.2,0,0,0,0,-0.009167373846150184,-0.009319445538999993,0.039128614301260356
2024-06-25,3.33490857162721,1.07199323113177,4.5980615526763,0.155604166666667,11.241875,1.113125,13.55,1.4,0,0,0,0,0.051613297554660154,-0.009319445539009985,-0.016837539795820256
2024-06-26,3.3613248821291,1.06267378559276,4.65688309362604,0.154708333333333,11.464375,1.12104166666667,15.55,0.0,0,0,0,0,0.026416310501890194,-0.009319445539009985,0.058821540949740125
2024-06-27,3.38241707256127,1.07205323561626,4.71910670259743,0.1535625,12.2833333333333,1.12791666666667,19.38,0.0,0,0,0,0,0.02109219043216992,0.009379450023500047,0.06222360897139012
